num_expediente,fecha,hora,localizacion,numero,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
2022S000034,1/2/2022,0:05:00,"CALL. MARIA TERESA SAENZ DE HEREDIA, 6",6,15,CIUDAD LINEAL,Caída,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 25 a 29 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,"444,462,918","4,474,808,752",S,NULL
2022S000290,1/5/2022,10:45:00,PASEO. MARQUES DE MONISTROL / GTA. PUENTE DE SEGOVIA,1,10,LATINA,Colisión fronto-lateral,Se desconoce,Bicicleta EPAC (pedaleo asistido),Conductor,De 25 a 29 años,Mujer,7,Asistencia sanitaria sólo en el lugar del accidente,"438,584,377","4,473,973,210",N,NULL
2022S000292,1/7/2022,13:55:00,"CALL. PICO CLAVERO, 4A",4A,13,PUENTE DE VALLECAS,Caída,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 60 a 64 años,Mujer,6,Asistencia sanitaria inmediata en centro de salud o mutua,"443,492,680","4,472,691,807",N,NULL
2022S000340,1/8/2022,3:00:00,"CALL. HUERTAS, 24",24,1,CENTRO,Caída,Despejado,Bicicleta,Conductor,De 30 a 34 años,Mujer,1,Atención en urgencias sin posterior ingreso,"440,663,453","4,473,911,843",N,NULL
2022S000359,1/7/2022,18:40:00,PQUE. FUENTE CARRANTONA / AUTOV. M-23,0,14,MORATALAZ,Caída,Despejado,Bicicleta,Conductor,De 55 a 59 años,Hombre,6,Asistencia sanitaria inmediata en centro de salud o mutua,"446,645,011","4,473,884,612",N,NULL
2022S000416,1/9/2022,14:20:00,"CALL. ALCALA, 69",69,4,SALAMANCA,Colisión lateral,Despejado,Bicicleta,Conductor,De 10 a 14 años,Hombre,NULL,NULL,"441,492,182","4,474,597,275",N,NULL
2022S000431,1/9/2022,23:30:00,"CALL. ALCALA, 291",291,15,CIUDAD LINEAL,Alcance,Despejado,Bicicleta,Conductor,De 18 a 20 años,Hombre,2,Ingreso inferior o igual a 24 horas,"444,530,881","4,475,945,207",N,NULL
2022S000432,1/10/2022,0:20:00,"CALL. SAGASTA, 30",30,1,CENTRO,Colisión lateral,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,NULL,NULL,"440,862,432","4,475,482,512",N,NULL
2022S000464,1/10/2022,14:29:00,"CALL. ARACNE, 29",29,20,SAN BLAS-CANILLEJAS,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 25 a 29 años,Mujer,6,Asistencia sanitaria inmediata en centro de salud o mutua,"449,989,339","4,477,254,626",N,NULL
2022S000477,1/10/2022,17:45:00,"CUSTA. SAN VICENTE, 1",1,1,CENTRO,Colisión frontal,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,"439,540,456","4,474,853,177",N,NULL
2022S000477,1/10/2022,17:45:00,"CUSTA. SAN VICENTE, 1",1,1,CENTRO,Colisión frontal,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,2,Ingreso inferior o igual a 24 horas,"439,540,456","4,474,853,177",N,NULL
2022S000480,1/10/2022,17:45:00,GTA. LUXEMBURGO / AVDA. PARTENON,2,21,BARAJAS,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 55 a 59 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,"447,427,912","4,479,330,469",N,NULL
2022S000501,1/10/2022,8:25:00,"CALL. ARROYOFRESNO, 24",24,8,FUENCARRAL-EL PARDO,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,6,Asistencia sanitaria inmediata en centro de salud o mutua,"437,168,035","4,480,967,925",N,NULL
2022S000521,1/11/2022,15:20:00,PASEO. INFANTA ISABEL / CALL. DOCTOR VELASCO,1,3,RETIRO,Colisión fronto-lateral,NULL,Bicicleta,Conductor,De 55 a 59 años,Hombre,NULL,NULL,"441,445,395","4,473,281,517",N,NULL
2022S000556,1/12/2022,8:15:00,PASEO. FERNAN NUÑEZ / CALL. ALFONSO XII,1,3,RETIRO,Atropello a persona,Despejado,Bicicleta,Conductor,De 50 a 54 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,"441,680,228","4,473,487,644",N,NULL
2022S000556,1/12/2022,8:15:00,PASEO. FERNAN NUÑEZ / CALL. ALFONSO XII,1,3,RETIRO,Atropello a persona,Despejado,Bicicleta,Peatón,De 45 a 49 años,Hombre,1,Atención en urgencias sin posterior ingreso,"441,680,228","4,473,487,644",N,NULL
2022S000735,1/14/2022,22:00:00,CALL. MARTINEZ IZQUIERDO / CALL. PILAR DE ZARAGOZA,4,4,SALAMANCA,Alcance,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,5,Asistencia sanitaria ambulatoria con posterioridad,"443,244,501","4,476,111,461",N,NULL
2022S000736,1/14/2022,23:52:00,CALL. CARACAS / CALL. FERNANDEZ DE LA HOZ,11,7,CHAMBERÍ,Colisión fronto-lateral,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 35 a 39 años,Hombre,1,Atención en urgencias sin posterior ingreso,"441,034,633","4,475,797,555",N,NULL
2022S000788,1/15/2022,13:30:00,CALL. ELOY GONZALO / CALL. SANTA ENGRACIA,7,7,CHAMBERÍ,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 55 a 59 años,Hombre,2,Ingreso inferior o igual a 24 horas,"440,711,593","4,476,260,492",N,NULL
